adsorption_energy,adsorbate_formula,adsorbate_connectivity_smiles,termination,fraction,adsorbate_num_atoms,atomic_num_1,atomic_num_2,atomic_num_3,atomic_num_4,atomic_num_5,atomic_num_6,atomic_num_6.1,atomic_num_8,atomic_num_9,atomic_num_10,atomic_num_1.1,atomic_num_12,atomic_num_13,atomic_num_14,atomic_num_15,atomic_num_16,atomic_num_17,atomic_num_18,atomic_num_19,atomic_num_20,atomic_num_21,atomic_num_22,atomic_num_23,atomic_num_24,atomic_num_25,atomic_num_26,atomic_num_27,atomic_num_28,atomic_num_29,atomic_num_30,double,triple,termination_atomic_num,Fixed_Substrate,LatticeConstant1,facet,Substrate_Symmetry
-0.71,H2S,S,Cu,0.1111,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-0.3,HCN,[CH][N],Cu,0.1111,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,False,3.567,111.0,3x3
-1.7,OH,[OH],Au,0.25,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,False,4.18,111.0,2x2
0.06,NO,[N][O],Au,0.25,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,False,4.18,111.0,2x2
-3.55,N,[N],Pd,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,False,3.99,111.0,2x2
-4.66,S,[S],Pd,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,False,3.99,111.0,2x2
-4.12,S,[S],Pd,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,False,3.99,111.0,2x2
0.08,N2,[N][N],Pd,0.25,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0,False,3.99,111.0,2x2
-2.75,CH2CH,[CH][CH2],Mo,0.25,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42.0,False,4.839,1.0,1x1
-2.72,H,[H],Pt,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,4.0,111.0,2x2
-3.14,H,[H],Ta,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,False,3.6624292517006807,110.0,2x2
-0.27,CO,[C][O],Zn,0.125,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.0,False,3.35,1.0,2x2
1.61,CH2(O)CHOHCH2(O),[O]CC(C[O])O,Pt,0.0625,10,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
0.83,CH2OHCH(O)COH,OCC([C]O)[O],Pt,0.0625,11,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
1.08,COHCOHC(O),[O][C][C]([C]O)O,Pt,0.0625,8,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,False,3.99,111.0,4x4
